RUA H;NOVO MUNDO
RUA 17;PONTE DOS CARVALHOS
RUA 02;CHARNECA
RUA MANOEL DOMINGOS BARROS;SAO FRANCISCO
RUA 01;ROSARIO
ESTRADA DA VITORIA;JUSSARAL
RUA DO FERREIRO;MERCES
RUA JOSE MIGUEL DE SANTANA;SUAPE
RUA PREFEITO DIOMEDES FERREIRA DE MELO;PONTE DOS CARVALHOS
RUA SANTA ROSA;PONTEZINHA
RUA DO PORTO;PONTE DOS CARVALHOS
2 TRAV DA SAUDADE;PONTE DOS CARVALHOS
RUA ANTONIO DA SILVA;PONTE DOS CARVALHOS
RUA JOSE LINO DE LIMA;ALTO CRUZEIRO
RUA DO CEMITERIO;PONTE DOS CARVALHOS
RUA PREFEITO DIOMEDES FERREIRA DE MELO;PONTE DOS CARVALHOS
ENGENHO ARARIBA DE BAIXO;ARARIBA
1 TRAV DO CRUZEIRO;PONTE DOS CARVALHOS
RUA 09;MALAQUIAS
RUA 28;SAO FRANCISCO
POVOADO BOA VISTA;ZONA RURAL
AVENIDA MANOEL RIBAS;SANTA FELICIDADE
RUA POMBA;GOIANIA
RUA CARLOS GOMES;BONGI
RUA FRANCISCO DE PAULA;CAXANGA
AV BEBERIBE;BEBERIBE
AV SAO PAULO;JARDIM SAO PAULO
AV ONZE DE AGOSTO;CURADO
RUA CHA DE ALEGRIA;BOMBA DO HEMETERIO
AV LUXEMBURGO;IMBIRIBEIRA
RUA DO CAMPO;AREIAS
RUA ALTO DO REFUGIO;NOVA DESCOBERTA
AV CAMPINA GRANDE;COHAB
RUA JALISCO;IMBIRIBEIRA
RUA JUPIRACY;AREIAS
ESTRADA DO ARRAIAL;CASA AMARELA
RUA;RESIDENCIAL CASTELIN
RUA SENADOR MILTON CAMPOS;VASCO DA GAMA
RUA ALTO DA BRASILEIRA;NOVA DESCOBERTA
RUA GUAPIRAMA;ILHA JOANA BEZERRA
RUA NOVA DESCOBERTA;NOVA DESCOBERTA
RODOVIA BR 101SUL;CURADO
RUA FELICIANO JOSE DE FARIAS;BOA VIAGEM
RUA PADRE DIOGO RODRIGUES;BARRO
RUA TRES MIL E SETENTA E QUATRO;PAULO VI
RUA CAPITAO SALGUEIRO;PORTO DA MADEIRA
RUA NOVA ALIANCA;IPUTINGA
RUA OSCAR DE BARROS;CASA AMARELA
AV MAURICIO DE NASSAU;IPUTINGA
RUA SIRIJI;ALTO DO MANDU
LARGO DA SANTA CRUZ;BOA VISTA
RUA IBITIARA;COHAB
RUA DANCING DAYS;IMBIRIBEIRA
ESTRADA DOS MACACOS;GUABIRABA
RUA SAO JOSE;IMBIRIBEIRA
RUA MARECHAL DEODORO;CAMPO GRANDE
CAIS DO APOLO;RECIFE
AV AZUL;SANTA MARIA
RUA MARUIM;CENTRO
